Model,Accuracy,ROC-AUC,PR-AUC,Resampling
Decision Tree,0.8161222339304531,0.8172287390029326,0.8581382370326598,Smote Tomek
XGBoost,0.8830347734457323,0.9518550608726561,0.9584645794063744,Smote Tomek
KNN,0.7966280295047419,0.8686494712521106,0.8620063593374809,Smote Tomek
Random Forest,0.8793466807165438,0.9499266862170088,0.9524475240912645,Smote Tomek
Logistic Regression,0.7908324552160169,0.8772938327557096,0.8507656473058806,Smote Tomek
SVM,0.6870389884088515,0.7584544121567582,0.7582205223578633,Smote Tomek
Naive Bayes,0.7776606954689147,0.8574080245267929,0.8395823725150282,Smote Tomek
