Model,Accuracy,ROC-AUC,PR-AUC,Resampling
Decision Tree,0.8294685990338164,0.8307216704683067,0.8749136376595941,Smote
XGBoost,0.8545893719806763,0.9348350978358195,0.9477951118476926,Smote
KNN,0.7782608695652173,0.8449836559047421,0.8448216506185833,Smote
Random Forest,0.857487922705314,0.9358663490904542,0.9419944577084469,Smote
Logistic Regression,0.7869565217391304,0.8616167255975329,0.8399094150917259,Smote
SVM,0.6671497584541063,0.7511108476054337,0.7651314490602255,Smote
Naive Bayes,0.7676328502415459,0.8428095784521241,0.8212128579268854,Smote
