Model,Accuracy,ROC-AUC,PR-AUC,Resampling
Decision Tree,0.8152591170825336,0.8145957906625189,0.8621836761787779,Adasyn
XGBoost,0.8426103646833013,0.9273199765277894,0.940458305236049,Adasyn
KNN,0.7341650671785028,0.7995746813334205,0.7865585809370863,Adasyn
Random Forest,0.8526871401151631,0.9287575112455655,0.9359432058440598,Adasyn
Logistic Regression,0.7490403071017274,0.817195420892294,0.7738542647365279,Adasyn
SVM,0.6281190019193857,0.6961596957824638,0.68559652005674,Adasyn
Naive Bayes,0.7298464491362764,0.8027150567598216,0.7734835027895226,Adasyn
